iter	Accuracy	Logloss
0	0.6954198473	0.6728770374
1	0.6980916031	0.652801476
2	0.7041984733	0.6361204117
3	0.7194656489	0.624010302
4	0.7503816794	0.6146330882
5	0.7664122137	0.6026880516
6	0.7694656489	0.5854336365
7	0.7683206107	0.5753564075
8	0.7645038168	0.568871004
9	0.7660305344	0.5630703168
10	0.7664122137	0.5597982743
11	0.7683206107	0.5535184373
12	0.7679389313	0.5432819984
13	0.7671755725	0.541207034
14	0.7702290076	0.53650666
15	0.7744274809	0.5276580529
16	0.7797709924	0.5167974322
17	0.779389313	0.5120425368
18	0.7805343511	0.5096314628
19	0.7839694656	0.5062072951
20	0.7824427481	0.4988250612
21	0.7832061069	0.4971817293
22	0.7858778626	0.4949710605
23	0.7904580153	0.4914729656
24	0.7893129771	0.4904429542
25	0.7904580153	0.488388745
26	0.793129771	0.4858150625
27	0.7927480916	0.4828545502
28	0.7965648855	0.4806866212
29	0.7996183206	0.4745556027
30	0.7992366412	0.4714021796
31	0.8019083969	0.4687292449
32	0.8030534351	0.467202483
33	0.8038167939	0.4632045888
34	0.8045801527	0.4599338122
35	0.8034351145	0.4587621627
36	0.8053435115	0.4569191751
37	0.8080152672	0.4557699399
38	0.806870229	0.4549428531
39	0.8091603053	0.4490895813
40	0.8122137405	0.4463212033
41	0.8133587786	0.4453182658
42	0.8129770992	0.4442461081
43	0.813740458	0.4427780487
44	0.8141221374	0.4412845458
45	0.8164122137	0.4393288403
46	0.8167938931	0.4374106583
47	0.8190839695	0.4358372573
48	0.8194656489	0.4333470681
49	0.820610687	0.431887881
50	0.8209923664	0.4310092861
51	0.8213740458	0.4297998502
52	0.8209923664	0.4273228961
53	0.8213740458	0.4262021423
54	0.820610687	0.4255633767
55	0.8232824427	0.4245088704
56	0.8244274809	0.4231308763
57	0.8244274809	0.4201617013
58	0.8255725191	0.4189642483
59	0.8251908397	0.4174944074
60	0.8278625954	0.4160891525
61	0.8282442748	0.4145357279
62	0.829389313	0.413619838
63	0.829389313	0.4127566792
64	0.8305343511	0.4120479169
65	0.8316793893	0.4112515836
66	0.8332061069	0.4102327921
67	0.8339694656	0.406524122
68	0.834351145	0.4059981368
69	0.8351145038	0.4054374378
