iter	Passed	Remaining
0	2	2843
1	5	2680
2	9	3130
3	11	2982
4	14	2891
5	17	2846
6	19	2794
7	22	2739
8	23	2633
9	25	2552
10	27	2479
11	29	2404
12	30	2344
13	33	2332
14	35	2318
15	38	2380
16	40	2366
17	42	2326
18	44	2302
19	46	2278
20	48	2247
21	49	2218
22	51	2194
23	53	2170
24	55	2147
25	56	2127
26	58	2106
27	60	2087
28	61	2066
29	63	2049
30	65	2032
31	66	2017
32	68	2001
33	70	1994
34	72	1994
35	74	1987
36	75	1975
37	77	1962
38	79	1951
39	80	1943
40	82	1932
41	84	1922
42	85	1913
43	87	1911
44	89	1908
45	91	1902
46	93	1895
47	95	1889
48	97	1883
49	98	1877
50	100	1871
51	102	1865
52	104	1865
53	106	1858
54	108	1855
55	109	1850
56	111	1844
57	113	1838
58	114	1832
59	116	1825
60	118	1819
61	120	1826
62	122	1822
63	124	1821
64	126	1816
65	128	1811
66	129	1807
67	131	1804
68	133	1798
69	135	1796
70	137	1797
71	139	1793
72	140	1789
73	142	1788
74	144	1784
75	146	1778
76	147	1772
77	149	1768
78	151	1763
79	153	1759
80	154	1754
81	156	1748
82	157	1745
83	159	1740
84	161	1735
85	162	1730
86	164	1725
87	166	1721
88	167	1717
89	169	1713
90	171	1709
91	172	1705
92	174	1701
93	176	1697
94	177	1693
95	179	1688
96	181	1686
97	182	1682
98	184	1682
99	186	1680
100	188	1677
101	190	1674
102	191	1670
103	193	1666
104	194	1662
105	196	1659
106	198	1655
107	199	1651
108	201	1648
109	203	1645
110	205	1644
111	207	1644
112	208	1640
113	210	1637
114	212	1634
115	213	1630
116	215	1626
117	217	1625
118	219	1623
119	221	1622
120	223	1620
121	225	1619
122	227	1620
123	228	1616
124	230	1613
125	232	1612
126	234	1610
127	236	1608
128	237	1606
129	239	1602
130	241	1600
131	243	1598
132	244	1594
133	246	1591
134	247	1588
135	249	1585
136	251	1583
137	252	1580
138	254	1576
139	256	1573
140	257	1570
141	259	1567
142	261	1564
143	262	1561
144	264	1558
145	266	1556
146	267	1553
147	269	1550
148	270	1547
149	272	1544
150	274	1541
151	275	1538
152	277	1535
153	279	1532
154	281	1533
155	283	1531
156	284	1528
157	286	1526
158	288	1524
159	289	1521
160	291	1518
161	292	1515
162	294	1512
163	296	1510
164	298	1508
165	299	1506
166	301	1504
167	303	1502
168	304	1499
169	306	1496
170	308	1493
171	309	1491
172	311	1489
173	313	1487
174	314	1484
175	316	1482
176	318	1480
177	320	1478
178	321	1476
179	323	1474
180	325	1473
181	327	1471
182	329	1471
183	332	1472
184	333	1470
185	335	1468
186	337	1465
187	338	1463
188	340	1462
189	342	1460
190	344	1459
191	346	1457
192	348	1455
193	349	1453
